title,price_egp,rooms,bathrooms,area_m2,link
شقة متشطبة جاهزة للسكن في Allegria اليجريا بداخل بيفرلي هيلز سوديك,7000000,4,4,198,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D8%A9-%D9%85%D8%AA%D8%B4%D8%B7%D8%A8%D8%A9-%D8%AC%D8%A7%D9%87%D8%B2%D8%A9-%D9%84%D9%84%D8%B3%D9%83%D9%86-%D9%81%D9%8A-allegria-%D8%A7%D9%84%D9%8A%D8%AC%D8%B1%D9%8A%D8%A7-%D8%A8%D8%AF%D8%A7%D8%AE%D9%84-%D8%A8%D9%8A%D9%81%D8%B1%D9%84%D9%8A-%D9%87%D9%8A%D9%84%D8%B2-%D8%B3%D9%88%D8%AF%D9%8A%D9%83-ID503751690.html
شقه للبيع استلام فورى في كمبوند سراي بسعر الكاش في المستقبل سيتي خصم  الكاش 50%  او بمقدم 10%  فقط علي 8 سنوات | القاهره الجديده | Sarai,5600000,3,2,164,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%89-%D9%81%D9%8A-%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D8%B3%D8%B1%D8%A7%D9%8A-%D8%A8%D8%B3%D8%B9%D8%B1-%D8%A7%D9%84%D9%83%D8%A7%D8%B4-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%B3%D9%8A%D8%AA%D9%8A-%D8%AE%D8%B5%D9%85-%D8%A7%D9%84%D9%83%D8%A7%D8%B4-50-%D8%A7%D9%88-%D8%A8%D9%85%D9%82%D8%AF%D9%85-10-%D9%81%D9%82%D8%B7-%D8%B9%D9%84%D9%8A-8-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D9%87-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-sarai-ID503586866.html
شقه للبيع في كمبوند سراي بسعر الكاش استلام فورى بمقدم 10% فقط علي 8 سنوات | خصم علي الكاش 50% | القاهره الجديده | Sarai,5700000,3,2,169,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D8%B3%D8%B1%D8%A7%D9%8A-%D8%A8%D8%B3%D8%B9%D8%B1-%D8%A7%D9%84%D9%83%D8%A7%D8%B4-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%89-%D8%A8%D9%85%D9%82%D8%AF%D9%85-10-%D9%81%D9%82%D8%B7-%D8%B9%D9%84%D9%8A-8-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D8%AE%D8%B5%D9%85-%D8%B9%D9%84%D9%8A-%D8%A7%D9%84%D9%83%D8%A7%D8%B4-50-%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D9%87-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-sarai-ID503559181.html
دوبلكس للبيع ياسمين ٦ التجمع الأول,16500000,5,5,440,https://www.dubizzle.com.eg/ad/%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86-%D9%A6-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%A3%D9%88%D9%84-ID207643012.html
للبيع شقة 175 متر في السياحية الشمالية الاولى خلف مول العرب بحري بالكامل موقوع مميز جدا فيو مفتوح دقيقة من وصلة دهشور و خمس دقائق من مول العرب,4285000,3,2,175,https://www.dubizzle.com.eg/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B4%D9%82%D8%A9-175-%D9%85%D8%AA%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%AD%D9%8A%D8%A9-%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%A7%D9%88%D9%84%D9%89-%D8%AE%D9%84%D9%81-%D9%85%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8-%D8%A8%D8%AD%D8%B1%D9%8A-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-%D9%85%D9%88%D9%82%D9%88%D8%B9-%D9%85%D9%85%D9%8A%D8%B2-%D8%AC%D8%AF%D8%A7-%D9%81%D9%8A%D9%88-%D9%85%D9%81%D8%AA%D9%88%D8%AD-%D8%AF%D9%82%D9%8A%D9%82%D8%A9-%D9%85%D9%86-%D9%88%D8%B5%D9%84%D8%A9-%D8%AF%D9%87%D8%B4%D9%88%D8%B1-%D9%88-%D8%AE%D9%85%D8%B3-%D8%AF%D9%82%D8%A7%D8%A6%D9%82-%D9%85%D9%86-%D9%85%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8-ID503743385.html
شقة استلام فوري في الشيخ زايد كمبوند الخمائل Khamayel Compound  استثماري بحصة ف الارض بمقدم و الباقي اقساط علي 4 سنوات مرحلة تانية الهضبة,7080000,3,3,167,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D8%A9-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%B4%D9%8A%D8%AE-%D8%B2%D8%A7%D9%8A%D8%AF-%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D8%A7%D9%84%D8%AE%D9%85%D8%A7%D8%A6%D9%84-khamayel-compound-%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1%D9%8A-%D8%A8%D8%AD%D8%B5%D8%A9-%D9%81-%D8%A7%D9%84%D8%A7%D8%B1%D8%B6-%D8%A8%D9%85%D9%82%D8%AF%D9%85-%D9%88-%D8%A7%D9%84%D8%A8%D8%A7%D9%82%D9%8A-%D8%A7%D9%82%D8%B3%D8%A7%D8%B7-%D8%B9%D9%84%D9%8A-4-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D9%85%D8%B1%D8%AD%D9%84%D8%A9-%D8%AA%D8%A7%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D9%87%D8%B6%D8%A8%D8%A9-ID503901310.html
بنتهاوس للبيع في كمبوند فيليت سوديك استلام فوري بأقل سعر,27000000,5,4,277,https://www.dubizzle.com.eg/ad/%D8%A8%D9%86%D8%AA%D9%87%D8%A7%D9%88%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D9%81%D9%8A%D9%84%D9%8A%D8%AA-%D8%B3%D9%88%D8%AF%D9%8A%D9%83-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D8%A8%D8%A3%D9%82%D9%84-%D8%B3%D8%B9%D8%B1-ID503899861.html
شقه دور متكرر استلام فوري متشطب luxury!! دابل فيو pool+land scape تقسيمه رائعه باسهل خطط سداد بدون ضغط وتقسيط 10سـ بجوا لافيستا باتيو كازا + سوان ليك,3900000,2,3,101,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D9%87-%D8%AF%D9%88%D8%B1-%D9%85%D8%AA%D9%83%D8%B1%D8%B1-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D9%85%D8%AA%D8%B4%D8%B7%D8%A8-luxury-%D8%AF%D8%A7%D8%A8%D9%84-%D9%81%D9%8A%D9%88-poolland-scape-%D8%AA%D9%82%D8%B3%D9%8A%D9%85%D9%87-%D8%B1%D8%A7%D8%A6%D8%B9%D9%87-%D8%A8%D8%A7%D8%B3%D9%87%D9%84-%D8%AE%D8%B7%D8%B7-%D8%B3%D8%AF%D8%A7%D8%AF-%D8%A8%D8%AF%D9%88%D9%86-%D8%B6%D8%BA%D8%B7-%D9%88%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-10%D8%B3%D9%80-%D8%A8%D8%AC%D9%88%D8%A7-%D9%84%D8%A7%D9%81%D9%8A%D8%B3%D8%AA%D8%A7-%D8%A8%D8%A7%D8%AA%D9%8A%D9%88-%D9%83%D8%A7%D8%B2%D8%A7-%D8%B3%D9%88%D8%A7%D9%86-%D9%84%D9%8A%D9%83-ID503901178.html
شقه دور متكرر استلام فوري متشطب luxury دابل فيو pool+land scape تقسيمه رائعه باسهل خطط سداد بدون ضغط وتقسيط ع اطول عدد سنوات الرحاب-سوان ليك-كريك تاون,5000000,2,3,99,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D9%87-%D8%AF%D9%88%D8%B1-%D9%85%D8%AA%D9%83%D8%B1%D8%B1-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D9%85%D8%AA%D8%B4%D8%B7%D8%A8-luxury-%D8%AF%D8%A7%D8%A8%D9%84-%D9%81%D9%8A%D9%88-poolland-scape-%D8%AA%D9%82%D8%B3%D9%8A%D9%85%D9%87-%D8%B1%D8%A7%D8%A6%D8%B9%D9%87-%D8%A8%D8%A7%D8%B3%D9%87%D9%84-%D8%AE%D8%B7%D8%B7-%D8%B3%D8%AF%D8%A7%D8%AF-%D8%A8%D8%AF%D9%88%D9%86-%D8%B6%D8%BA%D8%B7-%D9%88%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-%D8%B9-%D8%A7%D8%B7%D9%88%D9%84-%D8%B9%D8%AF%D8%AF-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D8%AD%D8%A7%D8%A8-%D8%B3%D9%88%D8%A7%D9%86-%D9%84%D9%8A%D9%83-%D9%83%D8%B1%D9%8A%D9%83-%D8%AA%D8%A7%D9%88%D9%86-ID503901132.html
شقه الاحلام بدون مقدم !!!وهتقسط من غير ضغط علي 12سنه!!! اميز شقه في اميز لوكيشن باميز فيو في الكمبوند اوفر مش هيتكرر والسعر لقطه,5000000,2,3,117,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D9%87-%D8%A7%D9%84%D8%A7%D8%AD%D9%84%D8%A7%D9%85-%D8%A8%D8%AF%D9%88%D9%86-%D9%85%D9%82%D8%AF%D9%85-%D9%88%D9%87%D8%AA%D9%82%D8%B3%D8%B7-%D9%85%D9%86-%D8%BA%D9%8A%D8%B1-%D8%B6%D8%BA%D8%B7-%D8%B9%D9%84%D9%8A-12%D8%B3%D9%86%D9%87-%D8%A7%D9%85%D9%8A%D8%B2-%D8%B4%D9%82%D9%87-%D9%81%D9%8A-%D8%A7%D9%85%D9%8A%D8%B2-%D9%84%D9%88%D9%83%D9%8A%D8%B4%D9%86-%D8%A8%D8%A7%D9%85%D9%8A%D8%B2-%D9%81%D9%8A%D9%88-%D9%81%D9%8A-%D8%A7%D9%84%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D8%A7%D9%88%D9%81%D8%B1-%D9%85%D8%B4-%D9%87%D9%8A%D8%AA%D9%83%D8%B1%D8%B1-%D9%88%D8%A7%D9%84%D8%B3%D8%B9%D8%B1-%D9%84%D9%82%D8%B7%D9%87-ID503901119.html
