title,price_egp,rooms,bathrooms,area_m2,link
استلام فوري بنتهاوس للبيع فى ليك فيو ريزيدنس القاهرة الجديدة  Lake view residence موقع مميز جدا  فيوعلي بحيره اكبر مساحه و غير مشطبه,28000000,4,4,298,https://www.dubizzle.com.eg/ad/%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D8%A8%D9%86%D8%AA%D9%87%D8%A7%D9%88%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%89-%D9%84%D9%8A%D9%83-%D9%81%D9%8A%D9%88-%D8%B1%D9%8A%D8%B2%D9%8A%D8%AF%D9%86%D8%B3-%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-lake-view-residence-%D9%85%D9%88%D9%82%D8%B9-%D9%85%D9%85%D9%8A%D8%B2-%D8%AC%D8%AF%D8%A7-%D9%81%D9%8A%D9%88%D8%B9%D9%84%D9%8A-%D8%A8%D8%AD%D9%8A%D8%B1%D9%87-%D8%A7%D9%83%D8%A8%D8%B1-%D9%85%D8%B3%D8%A7%D8%AD%D9%87-%D9%88-%D8%BA%D9%8A%D8%B1-%D9%85%D8%B4%D8%B7%D8%A8%D9%87-ID501840131.html
شقه ٢٢٠ متر للبيع بفيلا بمدينة الشروق,3300000,3,2,220,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D9%87-%D9%A2%D9%A2%D9%A0-%D9%85%D8%AA%D8%B1-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%81%D9%8A%D9%84%D8%A7-%D8%A8%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B4%D8%B1%D9%88%D9%82-ID503608884.html
للبيع شقة استلام فوري متشطبة بالكامل بارقي كمبوند في الشروق بجوار المركز الطبي العالمي بكمبوند البروج,15200000,3,3,253,https://www.dubizzle.com.eg/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B4%D9%82%D8%A9-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D9%85%D8%AA%D8%B4%D8%B7%D8%A8%D8%A9-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-%D8%A8%D8%A7%D8%B1%D9%82%D9%8A-%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D9%81%D9%8A-%D8%A7%D9%84%D8%B4%D8%B1%D9%88%D9%82-%D8%A8%D8%AC%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A-%D8%A8%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D8%A7%D9%84%D8%A8%D8%B1%D9%88%D8%AC-ID503753699.html
شقة استلام فوري متشطبة بالكامل للبيع في كمبوند البروج,8000000,3,2,180,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D8%A9-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D9%85%D8%AA%D8%B4%D8%B7%D8%A8%D8%A9-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D8%A7%D9%84%D8%A8%D8%B1%D9%88%D8%AC-ID503860652.html
خصم كبير+جاهزه للمعاينه +تشطيب Ultra Lux+موقع مميز شقه للبيع في كمبوند مايان التجمع الخامس  بين سوان ليك حسن علام و LMD دقايق من HYDE PARK & MIVIDA,5000000,2,2,104,https://www.dubizzle.com.eg/ad/%D8%AE%D8%B5%D9%85-%D9%83%D8%A8%D9%8A%D8%B1%D8%AC%D8%A7%D9%87%D8%B2%D9%87-%D9%84%D9%84%D9%85%D8%B9%D8%A7%D9%8A%D9%86%D9%87-%D8%AA%D8%B4%D8%B7%D9%8A%D8%A8-ultra-lux%D9%85%D9%88%D9%82%D8%B9-%D9%85%D9%85%D9%8A%D8%B2-%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D9%85%D8%A7%D9%8A%D8%A7%D9%86-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D8%A8%D9%8A%D9%86-%D8%B3%D9%88%D8%A7%D9%86-%D9%84%D9%8A%D9%83-%D8%AD%D8%B3%D9%86-%D8%B9%D9%84%D8%A7%D9%85-%D9%88-lmd-%D8%AF%D9%82%D8%A7%D9%8A%D9%82-%D9%85%D9%86-hyde-park-mivida-ID503903215.html
فرصة مميزة لامتلاك شقة بتشطيبات فاخرة وموقع متميز داخل مدينتي.,11500000,3,3,175,https://www.dubizzle.com.eg/ad/%D9%81%D8%B1%D8%B5%D8%A9-%D9%85%D9%85%D9%8A%D8%B2%D8%A9-%D9%84%D8%A7%D9%85%D8%AA%D9%84%D8%A7%D9%83-%D8%B4%D9%82%D8%A9-%D8%A8%D8%AA%D8%B4%D8%B7%D9%8A%D8%A8%D8%A7%D8%AA-%D9%81%D8%A7%D8%AE%D8%B1%D8%A9-%D9%88%D9%85%D9%88%D9%82%D8%B9-%D9%85%D8%AA%D9%85%D9%8A%D8%B2-%D8%AF%D8%A7%D8%AE%D9%84-%D9%85%D8%AF%D9%8A%D9%86%D8%AA%D9%8A-ID503888827.html
شقة للبيع استلام فوري في جرين سكوير بموقع مميز يطل على جرين فالي في مستقبل سيتي - Mostakbal City,5650000,3,3,165,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D9%81%D9%8A-%D8%AC%D8%B1%D9%8A%D9%86-%D8%B3%D9%83%D9%88%D9%8A%D8%B1-%D8%A8%D9%85%D9%88%D9%82%D8%B9-%D9%85%D9%85%D9%8A%D8%B2-%D9%8A%D8%B7%D9%84-%D8%B9%D9%84%D9%89-%D8%AC%D8%B1%D9%8A%D9%86-%D9%81%D8%A7%D9%84%D9%8A-%D9%81%D9%8A-%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%B3%D9%8A%D8%AA%D9%8A-mostakbal-city-ID503794191.html
شقه للبيع فيو علي واجهتين ( استلام فوري ومتشطبه ) في استودا stoda بمصر الجديده,8257000,3,3,176,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A%D9%88-%D8%B9%D9%84%D9%8A-%D9%88%D8%A7%D8%AC%D9%87%D8%AA%D9%8A%D9%86-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D9%88%D9%85%D8%AA%D8%B4%D8%B7%D8%A8%D9%87-%D9%81%D9%8A-%D8%A7%D8%B3%D8%AA%D9%88%D8%AF%D8%A7-stoda-%D8%A8%D9%85%D8%B5%D8%B1-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-ID503902784.html
شقه للبيع علي 3 واجهات وفيو خيالي في كمبوند استون بارك stone park في التجمع الخامس,6267249,2,2,142,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B9%D9%84%D9%8A-3-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D9%88%D9%81%D9%8A%D9%88-%D8%AE%D9%8A%D8%A7%D9%84%D9%8A-%D9%81%D9%8A-%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D8%A7%D8%B3%D8%AA%D9%88%D9%86-%D8%A8%D8%A7%D8%B1%D9%83-stone-park-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-ID503902785.html
دوبلكس للبيع بروف فيو VIP و prime location في تاج سيتي taj city في التجمع,9725792,4,3,224,https://www.dubizzle.com.eg/ad/%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D8%B1%D9%88%D9%81-%D9%81%D9%8A%D9%88-vip-%D9%88-prime-location-%D9%81%D9%8A-%D8%AA%D8%A7%D8%AC-%D8%B3%D9%8A%D8%AA%D9%8A-taj-city-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-ID503902787.html
دوبلكس للبيع علي واجهتين بفيو خيالي متشطب high end واستلام فوري في سوديك فيليت sodic villette في التجمع الخامس,19207922,4,4,290,https://www.dubizzle.com.eg/ad/%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B9%D9%84%D9%8A-%D9%88%D8%A7%D8%AC%D9%87%D8%AA%D9%8A%D9%86-%D8%A8%D9%81%D9%8A%D9%88-%D8%AE%D9%8A%D8%A7%D9%84%D9%8A-%D9%85%D8%AA%D8%B4%D8%B7%D8%A8-high-end-%D9%88%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D9%81%D9%8A-%D8%B3%D9%88%D8%AF%D9%8A%D9%83-%D9%81%D9%8A%D9%84%D9%8A%D8%AA-sodic-villette-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-ID503902780.html
شقة بمربع الوزراء مساكن شيراتون,4000000,2,1,90,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D8%A9-%D8%A8%D9%85%D8%B1%D8%A8%D8%B9-%D8%A7%D9%84%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D9%85%D8%B3%D8%A7%D9%83%D9%86-%D8%B4%D9%8A%D8%B1%D8%A7%D8%AA%D9%88%D9%86-ID208154119.html
شقة 150م دور تاني امامي بجوار المونوريل ومحور بن زايد والنادي الاهلي واقساط  ٣٦ شهر,3600000,3,3,150,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D8%A9-150%D9%85-%D8%AF%D9%88%D8%B1-%D8%AA%D8%A7%D9%86%D9%8A-%D8%A7%D9%85%D8%A7%D9%85%D9%8A-%D8%A8%D8%AC%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%88%D9%86%D9%88%D8%B1%D9%8A%D9%84-%D9%88%D9%85%D8%AD%D9%88%D8%B1-%D8%A8%D9%86-%D8%B2%D8%A7%D9%8A%D8%AF-%D9%88%D8%A7%D9%84%D9%86%D8%A7%D8%AF%D9%8A-%D8%A7%D9%84%D8%A7%D9%87%D9%84%D9%8A-%D9%88%D8%A7%D9%82%D8%B3%D8%A7%D8%B7-%D9%A3%D9%A6-%D8%B4%D9%87%D8%B1-ID502669112.html
بشمال الرحاب شقة ١٥٠م بمقدم ٨٥٠ الف وتقسيط على ٥ سنوات,4275000,3,2,150,https://www.dubizzle.com.eg/ad/%D8%A8%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%B1%D8%AD%D8%A7%D8%A8-%D8%B4%D9%82%D8%A9-%D9%A1%D9%A5%D9%A0%D9%85-%D8%A8%D9%85%D9%82%D8%AF%D9%85-%D9%A8%D9%A5%D9%A0-%D8%A7%D9%84%D9%81-%D9%88%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-%D8%B9%D9%84%D9%89-%D9%A5-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-ID202149898.html
شقة 169م بانوراما بالكامل حرف ال G بجوار الجامعة الالمانية ومسجد فاطمة الشربتلي استلام فوري النرجس الجديدة,4850000,3,2,169,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D8%A9-169%D9%85-%D8%A8%D8%A7%D9%86%D9%88%D8%B1%D8%A7%D9%85%D8%A7-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-%D8%AD%D8%B1%D9%81-%D8%A7%D9%84-g-%D8%A8%D8%AC%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D8%A7%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A9-%D9%88%D9%85%D8%B3%D8%AC%D8%AF-%D9%81%D8%A7%D8%B7%D9%85%D8%A9-%D8%A7%D9%84%D8%B4%D8%B1%D8%A8%D8%AA%D9%84%D9%8A-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-%D8%A7%D9%84%D9%86%D8%B1%D8%AC%D8%B3-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-ID503159474.html
شقة 158م دور تاني في الحى الاول غرب دقيقتين لكارفور وطريق اسماعيلية استلام فوري,2800000,3,2,158,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D8%A9-158%D9%85-%D8%AF%D9%88%D8%B1-%D8%AA%D8%A7%D9%86%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%AD%D9%89-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%BA%D8%B1%D8%A8-%D8%AF%D9%82%D9%8A%D9%82%D8%AA%D9%8A%D9%86-%D9%84%D9%83%D8%A7%D8%B1%D9%81%D9%88%D8%B1-%D9%88%D8%B7%D8%B1%D9%8A%D9%82-%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84%D9%8A%D8%A9-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%8A-ID503744976.html
شقة 141م تطل علي the spine مدينتي للبيع بالتقسيط في ال B14 بآقل اوفر تقسيط 10 سنوات,11300000,3,2,141,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D8%A9-141%D9%85-%D8%AA%D8%B7%D9%84-%D8%B9%D9%84%D9%8A-the-spine-%D9%85%D8%AF%D9%8A%D9%86%D8%AA%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D8%A7%D9%84%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-%D9%81%D9%8A-%D8%A7%D9%84-b14-%D8%A8%D8%A2%D9%82%D9%84-%D8%A7%D9%88%D9%81%D8%B1-%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-10-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-ID503729942.html
شقة 141م بحري وايد جاردن للبيع بمدينتي B14 دور متكرر مقدم واقساط موقع لن يتكرر بإطلالة بانوراما,11585000,3,2,141,https://www.dubizzle.com.eg/ad/%D8%B4%D9%82%D8%A9-141%D9%85-%D8%A8%D8%AD%D8%B1%D9%8A-%D9%88%D8%A7%D9%8A%D8%AF-%D8%AC%D8%A7%D8%B1%D8%AF%D9%86-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%85%D8%AF%D9%8A%D9%86%D8%AA%D9%8A-b14-%D8%AF%D9%88%D8%B1-%D9%85%D8%AA%D9%83%D8%B1%D8%B1-%D9%85%D9%82%D8%AF%D9%85-%D9%88%D8%A7%D9%82%D8%B3%D8%A7%D8%B7-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D9%86-%D9%8A%D8%AA%D9%83%D8%B1%D8%B1-%D8%A8%D8%A5%D8%B7%D9%84%D8%A7%D9%84%D8%A9-%D8%A8%D8%A7%D9%86%D9%88%D8%B1%D8%A7%D9%85%D8%A7-ID503709449.html
